genre,,,pop,rock,edm,country,rap,hip,r&b,latin,mellow,TOTAL,,pop,rock,edm,country,rap,hip,r&b,latin,mellow
pop,1445,,1,,,,,,,,,1445,,1445,0,0,0,0,0,0,0,0
dance pop,1173,,1,,,,,,,,,1173,,1173,0,0,0,0,0,0,0,0
pop rap,592,,1,,,,1,,,,,1184,,1184,0,0,0,1184,0,0,0,0
post-teen pop,566,,1,,,,,,,,,566,,566,0,0,0,0,0,0,0,0
rap,453,,,,,,1,,,,,453,,0,0,0,0,453,0,0,0,0
urban contemporary,443,,,,,,1,,,,,443,,0,0,0,0,443,0,0,0,0
pop rock,441,,0,1,,,,,,,,441,,0,441,0,0,0,0,0,0,0
r&b,383,,,,,,,,1,,,383,,0,0,0,0,0,0,383,0,0
hip pop,301,,1,,,,,1,,,,602,,602,0,0,0,0,602,0,0,0
hip hop,294,,,,,,,1,,,,294,,0,0,0,0,0,294,0,0,0
neo mellow,264,,,,,,,,,,1,264,,0,0,0,0,0,0,0,0,264
southern hip hop,174,,,,,,,1,,,,174,,0,0,0,0,0,174,0,0,0
post-grunge,160,,,1,,,,,,,,160,,0,160,0,0,0,0,0,0,0
atl hip hop,148,,,,,,,1,,,,148,,0,0,0,0,0,148,0,0,0
trap,123,,,,,,1,,,,,123,,0,0,0,0,123,0,0,0,0
neo soul,123,,,,,,,,1,,,123,,0,0,0,0,0,0,123,0,0
electropop,111,,1,,,,,,,,,111,,111,0,0,0,0,0,0,0,0
canadian pop,110,,1,,,,,,,,,110,,110,0,0,0,0,0,0,0,0
alternative metal,96,,,1,,,,,,,,96,,0,96,0,0,0,0,0,0,0
rock,95,,,1,,,,,,,,95,,0,95,0,0,0,0,0,0,0
gangster rap,85,,,,,,1,,,,,85,,0,0,0,0,85,0,0,0,0
uk pop,84,,1,,,,,,,,,84,,84,0,0,0,0,0,0,0,0
nu metal,74,,,1,,,,,,,,74,,0,74,0,0,0,0,0,0,0
edm,73,,,,1,,,,,,,73,,0,0,73,0,0,0,0,0,0
